source_sector,raw_sector,block_dimension,normalization_status,coefficient_source,intrinsic_ambiguity_group,intrinsic_projective_gauge_dimension,residual_unanchored_projective_gauge_dimension,why_ambiguous,current_anchor,nontrivial_gl_witness_present,witness_formula_residual_zero,witness_preserves_central_page,perennial_id,coordinate_fingerprint_id
0,32,10,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_10(F_1000003),99,99,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
1,25,6,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_6(F_1000003),35,35,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
2,23,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
3,12,5,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_5(F_1000003),24,24,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
4,28,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
5,21,2,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_2(F_1000003),3,3,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
6,9,2,REGISTERED_SUPPORT_ANCHORED,REGISTERED_SUPPORT_COO,PGL_2(F_1000003),3,0,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,promoted registered support matrix-unit source fixes this basis,False,False,False,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
7,17,1,CANONICAL_DIMENSION_ONE,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
8,18,3,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_3(F_1000003),8,8,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
9,22,3,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_3(F_1000003),8,8,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
10,24,1,CANONICAL_DIMENSION_ONE,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
11,6,5,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_5(F_1000003),24,24,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
12,14,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
13,3,2,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_2(F_1000003),3,3,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
14,27,5,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_5(F_1000003),24,24,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
15,37,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
16,7,3,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_3(F_1000003),8,8,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
17,31,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
18,20,6,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_6(F_1000003),35,35,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
19,5,1,CANONICAL_DIMENSION_ONE,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a
20,11,2,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_2(F_1000003),3,3,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051
