proof,proof_format,cnf,line,proof_id,op,literal_count,hint_count,max_var,integrity_type,class_code,reason,uses_extension_variable,has_duplicate_literal,contains_complement_pair,literals
contradiction_4.cadical.lrat,lrat,contradiction_4.cnf,1,6,add,0,2,0,C,C_PUBLIC_LRAT_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the checked LRAT trace,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,1,14,add,1,2,2,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,2
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,2,14,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,3,15,add,1,2,3,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,3
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,4,15,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,5,16,add,1,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,4
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,6,16,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,7,17,add,1,2,5,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,5
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,8,17,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,9,18,add,1,2,6,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,6
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,10,18,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,11,19,add,1,2,7,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,7
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,12,19,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
