visible_index,source_atom_id,target_atom_id,source_value,target_value,matched_transition_id,matched_left_basis_id,matched_right_basis_id,matched_left_raw_row_id,matched_right_raw_row_id,matched_flag,semantic_transition_flag
0,0,2,0,2,1,0,2,141323,141326,1,0
1,1,5,1,5,4,1,5,97924,99770,1,0
2,2,11,2,11,-1,-1,-1,-1,-1,0,0
3,5,15,5,15,-1,-1,-1,-1,-1,0,0
4,11,13,11,13,32,11,13,30348,31777,1,0
5,15,10,15,10,-1,-1,-1,-1,-1,0,0
6,13,16,13,16,-1,-1,-1,-1,-1,0,0
7,10,7,10,7,21,7,10,543,798,1,0
8,16,19,16,19,-1,-1,-1,-1,-1,0,0
9,7,18,7,18,-1,-1,-1,-1,-1,0,0
10,19,17,19,17,-1,-1,-1,-1,-1,0,0
11,18,14,18,14,-1,-1,-1,-1,-1,0,0
12,17,8,17,8,-1,-1,-1,-1,-1,0,0
13,14,4,14,4,-1,-1,-1,-1,-1,0,0
14,8,6,8,6,18,6,8,145625,141280,1,0
15,4,9,4,9,-1,-1,-1,-1,-1,0,0
16,6,3,6,3,9,3,6,141458,145625,1,0
17,9,12,9,12,-1,-1,-1,-1,-1,0,0
18,3,0,3,0,2,0,3,141323,141458,1,0
19,12,1,12,1,-1,-1,-1,-1,-1,0,0
