proof,cnf,line,op,literal_count,max_var,integrity_type,class_code,reason,uses_extension_variable,has_duplicate_literal,contains_complement_pair,literals
contradiction_4.cadical.drat,contradiction_4.cnf,1,add,0,0,C,C_PUBLIC_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the DRAT trace,false,false,false,
contradiction_4.cadical.drat,contradiction_4.cnf,2,delete,1,1,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1
contradiction_4.cadical.drat,contradiction_4.cnf,3,delete,2,2,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 2
contradiction_4.cadical.drat,contradiction_4.cnf,4,delete,2,3,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-2 3
contradiction_4.cadical.drat,contradiction_4.cnf,5,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-3 4
horn_chain_12.cadical.drat,horn_chain_12.cnf,1,add,1,2,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,2
horn_chain_12.cadical.drat,horn_chain_12.cnf,2,delete,2,2,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 2
horn_chain_12.cadical.drat,horn_chain_12.cnf,3,add,1,3,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,3
horn_chain_12.cadical.drat,horn_chain_12.cnf,4,delete,2,3,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-2 3
horn_chain_12.cadical.drat,horn_chain_12.cnf,5,add,1,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,4
horn_chain_12.cadical.drat,horn_chain_12.cnf,6,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-3 4
horn_chain_12.cadical.drat,horn_chain_12.cnf,7,add,1,5,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,5
horn_chain_12.cadical.drat,horn_chain_12.cnf,8,delete,2,5,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-4 5
horn_chain_12.cadical.drat,horn_chain_12.cnf,9,add,1,6,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,6
horn_chain_12.cadical.drat,horn_chain_12.cnf,10,delete,2,6,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-5 6
horn_chain_12.cadical.drat,horn_chain_12.cnf,11,add,1,7,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,7
horn_chain_12.cadical.drat,horn_chain_12.cnf,12,delete,2,7,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-6 7
horn_chain_12.cadical.drat,horn_chain_12.cnf,13,add,1,8,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,8
horn_chain_12.cadical.drat,horn_chain_12.cnf,14,delete,2,8,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-7 8
horn_chain_12.cadical.drat,horn_chain_12.cnf,15,add,1,9,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,9
horn_chain_12.cadical.drat,horn_chain_12.cnf,16,delete,2,9,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-8 9
horn_chain_12.cadical.drat,horn_chain_12.cnf,17,add,1,10,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,10
horn_chain_12.cadical.drat,horn_chain_12.cnf,18,delete,2,10,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-9 10
horn_chain_12.cadical.drat,horn_chain_12.cnf,19,add,1,11,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,11
horn_chain_12.cadical.drat,horn_chain_12.cnf,20,delete,2,11,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-10 11
horn_chain_12.cadical.drat,horn_chain_12.cnf,21,add,1,12,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,12
horn_chain_12.cadical.drat,horn_chain_12.cnf,22,delete,2,12,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-11 12
horn_chain_12.cadical.drat,horn_chain_12.cnf,23,add,0,0,C,C_PUBLIC_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the DRAT trace,false,false,false,
horn_chain_12.cadical.drat,horn_chain_12.cnf,24,delete,1,12,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-12
horn_chain_8.cadical.drat,horn_chain_8.cnf,1,add,1,2,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,2
horn_chain_8.cadical.drat,horn_chain_8.cnf,2,delete,2,2,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 2
horn_chain_8.cadical.drat,horn_chain_8.cnf,3,add,1,3,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,3
horn_chain_8.cadical.drat,horn_chain_8.cnf,4,delete,2,3,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-2 3
horn_chain_8.cadical.drat,horn_chain_8.cnf,5,add,1,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,4
horn_chain_8.cadical.drat,horn_chain_8.cnf,6,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-3 4
horn_chain_8.cadical.drat,horn_chain_8.cnf,7,add,1,5,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,5
horn_chain_8.cadical.drat,horn_chain_8.cnf,8,delete,2,5,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-4 5
horn_chain_8.cadical.drat,horn_chain_8.cnf,9,add,1,6,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,6
horn_chain_8.cadical.drat,horn_chain_8.cnf,10,delete,2,6,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-5 6
horn_chain_8.cadical.drat,horn_chain_8.cnf,11,add,1,7,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,7
horn_chain_8.cadical.drat,horn_chain_8.cnf,12,delete,2,7,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-6 7
horn_chain_8.cadical.drat,horn_chain_8.cnf,13,add,1,8,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,8
horn_chain_8.cadical.drat,horn_chain_8.cnf,14,delete,2,8,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-7 8
horn_chain_8.cadical.drat,horn_chain_8.cnf,15,add,0,0,C,C_PUBLIC_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the DRAT trace,false,false,false,
horn_chain_8.cadical.drat,horn_chain_8.cnf,16,delete,1,8,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-8
php_3_2.cadical.drat,php_3_2.cnf,1,add,1,2,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-2
php_3_2.cadical.drat,php_3_2.cnf,2,add,1,1,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1
php_3_2.cadical.drat,php_3_2.cnf,3,add,1,3,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-3
php_3_2.cadical.drat,php_3_2.cnf,4,add,1,5,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-5
php_3_2.cadical.drat,php_3_2.cnf,5,add,1,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,4
php_3_2.cadical.drat,php_3_2.cnf,6,add,1,6,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,6
php_3_2.cadical.drat,php_3_2.cnf,7,add,0,0,C,C_PUBLIC_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the DRAT trace,false,false,false,
xor_unsat.cadical.drat,xor_unsat.cnf,1,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1 2 4
xor_unsat.cadical.drat,xor_unsat.cnf,2,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1 2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,3,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-1 2 4
xor_unsat.cadical.drat,xor_unsat.cnf,4,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-1 2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,5,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1 -2 4
xor_unsat.cadical.drat,xor_unsat.cnf,6,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1 -2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,7,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-1 -2 4
xor_unsat.cadical.drat,xor_unsat.cnf,8,add,3,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-1 -2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,9,add,2,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1 4
xor_unsat.cadical.drat,xor_unsat.cnf,10,add,2,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,1 -4
xor_unsat.cadical.drat,xor_unsat.cnf,11,add,2,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-1 4
xor_unsat.cadical.drat,xor_unsat.cnf,12,add,2,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-1 -4
xor_unsat.cadical.drat,xor_unsat.cnf,13,add,1,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,4
xor_unsat.cadical.drat,xor_unsat.cnf,14,add,1,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-4
xor_unsat.cadical.drat,xor_unsat.cnf,15,add,1,4,C,C_PUBLIC_DRAT_LEMMA,DRAT lemma over public DIMACS literals; no extractor operation is present,false,false,false,-4
xor_unsat.cadical.drat,xor_unsat.cnf,16,add,0,0,C,C_PUBLIC_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the DRAT trace,false,false,false,
xor_unsat.cadical.drat,xor_unsat.cnf,17,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,1 2 4
