shell,h2_basis_index,public_actor_support_size,profile_ids,all_referenced_profiles_certified_nonnegative,status_multiset,interpretation
12,0,4,"4569,4572,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,1,4,"6,7,4572,4573",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,2,2,"111,113",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,3,4,"41,43,115,116",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,4,4,"41,44,115,117",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,5,4,"41,45,115,118",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,6,4,"41,46,115,119",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,7,4,"41,47,115,120",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,8,4,"4539,4544,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,9,4,"6,7,4543,4544",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,10,2,"212,214",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,11,6,"41,42,113,115,218,221",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,12,4,"113,115,218,220",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,13,6,"41,43,113,115,218,222",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,14,6,"41,44,113,115,218,223",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,15,6,"41,45,113,115,218,224",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,16,6,"41,46,113,115,218,225",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,17,4,"4487,4498,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,18,2,"240,244",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,19,4,"6,7,4493,4494",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,20,2,"363,368",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,21,4,"6,7,4495,4498",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,22,2,"364,367",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,23,4,"4488,4498,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,24,4,"6,7,4497,4498",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,25,2,"365,367",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,26,2,"371,372",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,27,4,"214,218,372,377",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,28,4,"214,218,372,376",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,29,6,"113,115,214,218,372,379",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,30,8,"41,43,113,115,214,218,372,381",True,"{""EXACT_RATIONAL_PASS"": 8}",sum of certified three-level nonnegative shell gaps
12,31,8,"41,44,113,115,214,218,372,382",True,"{""EXACT_RATIONAL_PASS"": 8}",sum of certified three-level nonnegative shell gaps
12,32,8,"41,45,113,115,214,218,372,383",True,"{""EXACT_RATIONAL_PASS"": 8}",sum of certified three-level nonnegative shell gaps
12,33,4,"4410,4426,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,34,4,"4411,4426,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,35,2,"418,420",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,36,4,"6,7,4417,4422",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,37,2,"620,624",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,38,2,"4424,4426",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,39,2,"622,625",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,40,4,"6,7,406,418",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,41,6,"6,7,4398,4412,4588,4590",True,"{""EXACT_RATIONAL_PASS"": 6}",sum of certified three-level nonnegative shell gaps
12,42,4,"6,7,4425,4426",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,43,2,"623,625",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,44,4,"367,368,629,633",True,"{""EXACT_RATIONAL_PASS"": 4}",sum of certified three-level nonnegative shell gaps
12,45,2,"630,633",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,46,2,"627,633",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
12,47,2,"631,633",True,"{""EXACT_RATIONAL_PASS"": 2}",sum of certified three-level nonnegative shell gaps
